Player	From	To	Pos	Ht	Wt	Birth Date	Colleges
Ryan Bowen	2000	2010	F	6-7	215	November 20, 1975	Iowa
Tommie Bowens	1968	1970	F-C	6-8	220	July 7, 1940	Grambling State University
Anthony Bowie	1989	1998	G-F	6-6	190	November 9, 1963	Oklahoma
Sam Bowie	1985	1995	C-F	7-1	235	March 17, 1961	Kentucky
Orb Bowling	1968	1968	C	6-10	215	March 21, 1939	Tennessee
Ira Bowman	2000	2002	G	6-5	195	June 11, 1973	Providence, Penn
Ky Bowman	2020	2020	G	6-1	187	June 16, 1997	Boston College
Nate Bowman	1967	1972	C	6-10	230	March 19, 1943	Wichita State
Donnie Boyce	1996	1997	G	6-5	196	September 2, 1973	Colorado
Dennis Boyd	1979	1979	G	6-1	175	May 21, 1954	Detroit Mercy
Freddie Boyd	1973	1978	G	6-2	180	June 13, 1950	Oregon State
Ken Boyd	1975	1975	F	6-5	195	March 25, 1952	Boston University
Earl Boykins	1999	2012	G	5-5	135	June 2, 1976	Eastern Michigan
Harry Boykoff	1950	1951	C	6-10	225	July 24, 1922	St. John's
Winford Boynes	1979	1981	G-F	6-6	185	May 17, 1957	San Francisco
Cedric Bozeman	2007	2007	G	6-6	207	March 7, 1983	UCLA
Steve Bracey	1973	1975	G	6-1	175	August 1, 1950	Tulsa
Craig Brackins	2011	2012	F	6-10	230	October 9, 1987	Iowa State
Gary Bradds	1965	1971	F	6-8	210	July 26, 1942	Ohio State
Alex Bradley	1982	1982	F	6-6	215	October 30, 1959	Villanova
Alonzo Bradley	1978	1980	F	6-6	190	October 16, 1953	Texas Southern
Avery Bradley	2011	2022	G	6-3	180	November 26, 1990	Texas
Bill Bradley	1968	1968	G	5-11	165	June 16, 1941	Tennessee State
Bill Bradley*	1968	1977	F-G	6-5	205	July 28, 1943	Princeton
Charles Bradley	1982	1984	G	6-5	215	May 16, 1959	Wyoming
Dudley Bradley	1980	1989	G-F	6-6	195	March 19, 1957	UNC
Jim Bradley	1974	1976	F	6-8	215	March 16, 1952	Northern Illinois
Joe Bradley	1950	1950	G	6-3	175	September 24, 1928	Oklahoma State
Michael Bradley	2002	2006	F-C	6-10	245	April 18, 1979	Kentucky, Villanova
Shawn Bradley	1994	2005	C	7-6	235	March 22, 1972	BYU
Tony Bradley	2018	2023	F-C	6-10	248	January 8, 1998	UNC
Mark Bradtke	1997	1997	C-F	6-10	265	September 27, 1968	
Marques Bragg	1996	1996	F	6-8	230	March 24, 1970	Providence
Torraye Braggs	2004	2005	F	6-8	245	May 15, 1976	Xavier
A.J. Bramlett	2000	2000	C	6-10	227	January 10, 1977	Arizona
Adrian Branch	1987	1990	F-G	6-7	185	November 17, 1963	Maryland
Elton Brand	2000	2016	F-C	6-9	275	March 11, 1979	Duke
Terrell Brandon	1992	2002	G	5-11	180	May 20, 1970	Oregon
Malaki Branham	2023	2024	G	6-4	180	May 12, 2003	Ohio State
Bob Brannum	1950	1955	F-C	6-5	215	May 28, 1926	Kentucky, Michigan State
Brad Branson	1982	1983	C-F	6-10	220	September 24, 1958	SMU
Jesse Branson	1966	1968	F	6-7	195	January 7, 1942	Elon University
Jarrell Brantley	2020	2023	F	6-5	250	June 7, 1996	College of Charleston
Jim Brasco	1953	1953	G	6-1	170	February 3, 1931	NYU
Mike Bratz	1978	1986	G	6-2	185	October 17, 1955	Stanford
Carl Braun*	1948	1962	G-F	6-5	180	September 25, 1927	Colgate
Christian Braun	2023	2024	G	6-6	218	April 17, 2001	Kansas
Ignas Brazdeikis	2020	2022	F	6-6	221	January 8, 1999	Michigan
Tim Breaux	1995	1998	F	6-7	215	September 19, 1970	Wyoming
J.R. Bremer	2003	2004	G	6-2	185	September 19, 1980	St. Bonaventure
Pete Brennan	1959	1959	F	6-6	205	September 23, 1936	UNC
Tom Brennan	1955	1955	F	6-3	195	August 6, 1930	Villanova
Randy Breuer	1984	1994	C	7-3	230	October 11, 1960	Minnesota
Corey Brewer	2008	2020	F-G	6-9	186	March 5, 1986	Florida
Jamison Brewer	2002	2005	G	6-4	184	November 19, 1980	Auburn
Jim Brewer	1974	1982	F-C	6-9	210	December 3, 1951	Minnesota
Ron Brewer	1979	1986	G	6-4	180	July 16, 1955	Arkansas
Ronnie Brewer	2007	2014	G-F	6-7	220	March 20, 1985	Arkansas
Primož Brezec	2002	2010	C	7-2	252	October 2, 1979	
Frankie Brian	1950	1956	G	6-1	180	May 1, 1923	LSU
Frank Brickowski	1985	1997	F-C	6-9	240	August 14, 1959	Penn State
Junior Bridgeman	1976	1987	F-G	6-5	210	September 17, 1953	Louisville
Bill Bridges	1963	1975	F-C	6-6	228	April 4, 1939	Kansas
Mikal Bridges	2019	2024	F-G	6-6	209	August 30, 1996	Villanova
Miles Bridges	2019	2024	G-F	6-7	225	March 21, 1998	Michigan State
Al Brightman	1947	1947	F	6-2	195	September 22, 1923	University of Charleston
Amida Brimah	2021	2021	C	6-10	230	February 11, 1994	UConn
Aud Brindley	1947	1947	F	6-4	175	December 31, 1923	Dartmouth College
Isaiah Briscoe	2019	2019	G	6-3	215	April 13, 1996	Kentucky
John Brisker	1970	1975	F-G	6-5	210	June 15, 1947	Toledo
Oshae Brissett	2020	2024	F	6-7	210	June 20, 1998	Syracuse
Allan Bristow	1974	1983	F-G	6-7	210	August 23, 1951	Virginia Tech
Tyrone Britt	1968	1968	G	6-4	190	April 18, 1944	Johnson C. Smith University
Wayman Britt	1978	1978	G	6-2	185	August 31, 1952	Michigan
Mike Brittain	1986	1987	C	7-0	235	June 21, 1963	South Carolina
Dave Britton	1981	1981	G	6-4	180	August 29, 1958	Texas A&M
Izaiah Brockington	2024	2024	G	6-4	200	July 12, 1999	St. Bonaventure, Penn State, Iowa State
Jon Brockman	2010	2012	F	6-7	255	March 20, 1987	Washington
Ryan Broekhoff	2019	2020	F	6-6	215	August 23, 1990	Valparaiso
Jim Brogan	1982	1983	G	6-4	185	February 24, 1958	West Virginia Wesleyan College
Malcolm Brogdon	2017	2024	G	6-4	229	December 11, 1992	Virginia
Gary Brokaw	1975	1978	G	6-4	178	January 11, 1954	Notre Dame
Price Brookfield	1949	1950	F-G	6-4	185	May 11, 1920	West Texas A&M University
Clarence Brookins	1971	1971	F	6-4	190		Temple
Aaron Brooks	2008	2018	G	6-0	161	January 14, 1985	Oregon
Armoni Brooks	2021	2024	G	6-3	195	June 5, 1998	Houston
Dillon Brooks	2018	2024	F-G	6-6	225	January 22, 1996	Oregon
Kevin Brooks	1992	1994	F	6-6	200	October 12, 1969	Louisiana
MarShon Brooks	2012	2019	G-F	6-5	200	January 26, 1989	Providence
Michael Brooks	1981	1988	F	6-7	220	August 17, 1958	La Salle
Scott Brooks	1989	1998	G	5-11	165	July 31, 1965	TCU, University of California, Irvine
Andre Brown	2007	2009	F	6-9	245	May 12, 1981	DePaul
