Player	From	To	Pos	Ht	Wt	Birth Date	Colleges
Richard Petruška	1994	1994	C-F	6-10	260	January 25, 1969	Loyola Marymount, UCLA
Bob Pettit*	1955	1965	F-C	6-9	205	December 12, 1932	LSU
Jerry Pettway	1968	1969	G-F	6-3	185	February 13, 1944	Northwood University
Roger Phegley	1979	1984	G-F	6-6	205	October 16, 1956	Bradley
Jack Phelan	1950	1950	F	6-5	195	November 6, 1925	DePaul
Jim Phelan	1954	1954	G	6-1	175	March 19, 1929	La Salle
Derrick Phelps	1995	1995	G	6-4	181	July 31, 1972	UNC
Michael Phelps	1986	1988	G	6-4	180	October 3, 1961	Alcorn State
Andy Phillip*	1948	1958	G-F	6-2	195	March 7, 1922	Illinois
Eddie Phillips	1983	1983	F	6-7	225	September 29, 1961	Alabama
Gary Phillips	1962	1966	G	6-3	189	December 7, 1939	Houston
Gene Phillips	1972	1973	G	6-4	175	October 25, 1948	SMU
Julian Phillips	2024	2024	F	6-8	198	November 5, 2003	Tennessee
Bobby Phills	1992	2000	G	6-5	210	December 20, 1969	Southern University and A&M College
Eric Piatkowski	1995	2008	G-F	6-7	215	September 30, 1970	Nebraska
Walt Piatkowski	1969	1972	F	6-8	220	June 11, 1945	Bowling Green
Jalen Pickett	2024	2024	G	6-4	209	October 22, 1999	Siena College, Penn State
Jamorko Pickett	2022	2022	G-F	6-9	206	December 24, 1997	Georgetown
Paul Pierce*	1999	2017	F-G	6-7	235	October 13, 1977	Kansas
Ricky Pierce	1983	1998	G	6-4	205	August 19, 1959	Rice University
Stan Pietkiewicz	1979	1981	G-F	6-5	200	July 14, 1956	Auburn
Mickaël Piétrus	2004	2013	G-F	6-6	215	February 7, 1982	
John Pilch	1952	1952	F	6-3	185	July 11, 1925	Wyoming
Ed Pinckney	1986	1997	F	6-9	195	March 27, 1963	Villanova
Kevinn Pinkney	2007	2007	F	6-10	245	October 20, 1983	Nevada
John Pinone	1984	1984	F	6-8	230	February 19, 1961	Villanova
Theo Pinson	2019	2023	G	6-5	212	November 5, 1995	UNC
Dave Piontek	1957	1963	F-C	6-6	230	August 27, 1934	Xavier
Tom Piotrowski	1984	1984	C	7-1	240	October 17, 1960	La Salle
Scottie Pippen*	1988	2004	F-G	6-8	210	September 25, 1965	University of Central Arkansas
Scotty Pippen Jr.	2023	2024	G	6-1	185	November 10, 2000	Vanderbilt
Charles Pittman	1983	1986	F	6-8	220	March 23, 1958	Maryland
Dexter Pittman	2011	2014	C	6-11	308	March 2, 1988	Texas
Zoran Planinić	2004	2006	G	6-7	195	September 12, 1982	
Tibor Pleiß	2016	2016	C	7-3	256	November 2, 1989	
Marshall Plumlee	2017	2018	C	7-0	250	July 14, 1992	Duke
Mason Plumlee	2014	2024	C-F	6-10	254	March 5, 1990	Duke
Miles Plumlee	2013	2019	C-F	6-11	249	September 1, 1988	Duke
Gary Plummer	1985	1993	F-C	6-9	215	February 21, 1962	Boston University
Pavel Podkolzin	2005	2006	C	7-5	260	January 15, 1985	
Brandin Podziemski	2024	2024	G	6-5	205	February 25, 2003	Illinois, Santa Clara
Jakob Poeltl	2017	2024	C	7-0	245	October 15, 1995	Utah
Vincent Poirier	2020	2021	C	7-0	235	October 17, 1993	
Aleksej Pokusevski	2021	2024	F	7-0	190	December 26, 2001	
Dwayne Polee	1987	1987	G	6-5	180	March 2, 1963	UNLV, Pepperdine
Jim Pollard*	1949	1955	F-C	6-4	185	July 9, 1922	Stanford
Scot Pollard	1998	2008	C	6-11	265	February 12, 1975	Kansas
Ralph Polson	1953	1953	F-C	6-7	200	October 26, 1929	Whitworth
Olden Polynice	1988	2004	C-F	6-11	220	November 21, 1964	Virginia
Cliff Pondexter	1976	1978	F-C	6-9	233	September 15, 1954	Cal State Long Beach
Quincy Pondexter	2011	2019	G-F	6-7	230	March 10, 1988	Washington
Shamorie Ponds	2020	2020	G	6-0	180	June 29, 1998	St. John's
Yves Pons	2022	2022	F	6-6	215	May 7, 1999	Tennessee
Jordan Poole	2020	2024	G	6-4	194	June 19, 1999	Michigan
David Pope	1985	1986	F	6-7	220	April 15, 1962	Norfolk State
Mark Pope	1998	2005	F	6-10	235	September 11, 1972	Washington, Kentucky
Dave Popson	1989	1992	F-C	6-10	220	May 17, 1964	UNC
Ben Poquette	1978	1987	F-C	6-9	235	May 7, 1955	Central Michigan University
Chris Porter	2001	2001	F	6-7	218	May 9, 1978	Auburn
Craig Porter Jr.	2024	2024	G	6-2	186	February 26, 2000	Vincennes University, Wichita State
Howard Porter	1972	1978	F-C	6-8	220	August 31, 1948	Villanova
Jontay Porter	2021	2024	F-C	6-11	240	November 15, 1999	Missouri
Kevin Porter	1973	1983	G	6-0	170	April 17, 1950	Saint Francis University
Kevin Porter Jr.	2020	2023	G	6-4	203	May 4, 2000	USC
Michael Porter Jr.	2020	2024	F	6-10	218	June 29, 1998	Missouri
Otto Porter Jr.	2014	2024	F	6-8	198	June 3, 1993	Georgetown
Terry Porter	1986	2002	G	6-3	195	April 8, 1963	University of Wisconsin-Stevens Point
Willie Porter	1968	1969	F	6-7	205	July 3, 1941	Tennessee State
Bobby Portis	2016	2024	F	6-10	250	February 10, 1995	Arkansas
Bob Portman	1970	1973	F	6-5	200	March 22, 1947	Creighton
Kristaps Porziņģis	2016	2024	F-C	7-2	240	August 2, 1995	
James Posey	2000	2011	F-G	6-8	215	January 13, 1977	Xavier
Lavor Postell	2001	2003	G	6-5	215	February 26, 1978	St. John's
John Postley	1968	1968	F	6-5	220	May 30, 1940	Bethune-Cookman College
Vitaly Potapenko	1997	2007	C	6-10	280	March 21, 1975	Wright State University
Micah Potter	2022	2024	C	6-10	248	April 6, 1998	Ohio State, Wisconsin
Leon Powe	2007	2011	F	6-8	240	January 22, 1984	California
Cincy Powell	1968	1975	F-C	6-7	220	February 25, 1942	University of Portland
Dwight Powell	2015	2024	F-C	6-10	240	July 20, 1991	Stanford
Josh Powell	2006	2014	F	6-9	225	January 25, 1983	NC State
Kasib Powell	2008	2008	F	6-7	215	March 18, 1981	Texas Tech
Myles Powell	2022	2022	G	6-2	195	July 7, 1997	Seton Hall
Norman Powell	2016	2024	G	6-3	215	May 25, 1993	UCLA
Roger Powell	2007	2007	F	6-6	235	January 15, 1983	Illinois
Alex Poythress	2017	2019	F	6-9	235	September 6, 1993	Kentucky
Mal Pradd	1968	1969	G	6-3	170	November 17, 1944	Dillard University
Mike Pratt	1971	1972	G-F	6-4	195	August 4, 1948	Kentucky
Paul Pressey	1983	1993	G-F	6-5	185	December 24, 1958	Western Texas College, Tulsa
Phil Pressey	2014	2016	G	5-11	175	February 17, 1991	Missouri
Dominic Pressley	1989	1989	G	6-2	170	May 30, 1964	Boston College
Harold Pressley	1987	1990	F-G	6-7	210	July 14, 1963	Villanova
Jason Preston	2023	2024	G	6-4	187	August 10, 1999	Ohio University
Steve Previs	1973	1973	G	6-3	183	February 9, 1950	UNC
A.J. Price	2010	2015	G	6-2	181	October 7, 1986	UConn
Brent Price	1993	2002	G	6-1	165	December 9, 1968	South Carolina, Oklahoma
Jim Price	1973	1979	G	6-3	195	November 27, 1949	Louisville
Mark Price	1987	1998	G	6-0	170	February 15, 1964	Georgia Tech
Mike Price	1971	1973	G	6-3	200	September 11, 1948	Illinois
Ronnie Price	2006	2017	G	6-2	190	June 21, 1983	Nicholls State, Utah Valley
Tony Price	1981	1981	G	6-6	190	January 5, 1957	Penn
Bob Priddy	1953	1953	F	6-3	190	March 24, 1930	New Mexico State
Pablo Prigioni	2013	2016	G	6-3	185	May 17, 1977	
Joshua Primo	2022	2024	G	6-6	190	December 24, 2002	Alabama
Taurean Prince	2017	2024	F	6-6	218	March 22, 1994	Baylor
Tayshaun Prince	2003	2016	F	6-9	212	February 28, 1980	Kentucky
John Pritchard	1950	1950	C	6-9	220	January 23, 1927	Drake University
Kevin Pritchard	1991	1996	G	6-3	180	July 17, 1967	Kansas
Payton Pritchard	2021	2024	G	6-1	195	January 28, 1998	Oregon
Laron Profit	2000	2006	G-F	6-5	204	August 5, 1977	Maryland
Olivier-Maxence Prosper	2024	2024	F	6-8	230	July 3, 2002	Clemson, Marquette
Gabe Pruitt	2008	2009	G	6-4	170	April 19, 1986	USC
Joel Przybilla	2001	2013	C	7-1	255	October 10, 1979	Minnesota
Les Pugh	1949	1950	C-F	6-7	190	September 18, 1922	Ohio State
Roy Pugh	1949	1949	C-F	6-6	210	October 16, 1922	SMU
Anthony Pullard	1993	1993	F	6-10	245	June 23, 1966	McNeese State University
Jacob Pullen	2018	2018	G	6-1	200	November 10, 1989	Kansas State
Rodney Purvis	2018	2018	G	6-4	205	February 14, 1994	UConn
Don Putman	1947	1950	G	6-1	170	November 13, 1922	Colorado
