Player	From	To	Pos	Ht	Wt	Birth Date	Colleges
Peter Thibeaux	1985	1986	F	6-7	210	October 3, 1961	Saint Mary's
Bill Thieben	1957	1958	F-C	6-7	215	March 28, 1935	Hofstra
Justus Thigpen	1970	1974	G	6-1	160	August 13, 1947	Mott Community College, Weber State
David Thirdkill	1983	1987	F-G	6-7	195	April 12, 1960	Bradley
Adonis Thomas	2014	2014	F	6-7	200	March 25, 1993	Memphis
Billy Thomas	2005	2008	G	6-4	208	December 23, 1975	Kansas
Brodric Thomas	2021	2022	G	6-5	185	January 28, 1997	Truman State University
Cam Thomas	2022	2024	G	6-4	210	October 13, 2001	LSU
Carl Thomas	1992	1998	G	6-4	175	October 3, 1969	Eastern Michigan
Charles Thomas	1992	1992	G	6-3	175	October 3, 1969	Eastern Michigan
Etan Thomas	2002	2011	F	6-9	256	April 1, 1978	Syracuse
Irving Thomas	1991	1991	F	6-8	225	January 2, 1966	Kentucky, Florida State
Isaiah Thomas	2012	2024	G	5-9	185	February 7, 1989	Washington
Isiah Thomas*	1982	1994	G	6-1	180	April 30, 1961	Indiana
Jamel Thomas	2000	2001	F	6-6	215	March 25, 1973	Providence
James Thomas	2005	2006	F	6-8	235	November 22, 1980	Texas
Jim Thomas	1984	1991	G	6-3	190	October 19, 1960	Indiana
Joe Thomas	1971	1971	F	6-6	205	March 9, 1948	Marquette
John Thomas	1998	2006	F	6-9	265	September 8, 1975	Minnesota
Kenny Thomas	2000	2010	F	6-7	261	July 25, 1977	New Mexico
Khyri Thomas	2019	2021	G	6-3	210	May 8, 1996	Creighton
Kurt Thomas	1996	2013	F	6-9	230	October 4, 1972	TCU
Lance Thomas	2012	2020	F	6-8	240	April 24, 1988	Duke
Malcolm Thomas	2012	2015	F	6-9	225	November 8, 1988	Pepperdine, San Diego State
Matt Thomas	2020	2022	G	6-4	190	August 4, 1994	Iowa State
Ron Thomas	1973	1976	F	6-6	215	November 19, 1950	Trinity Valley CC, Louisville
Terry Thomas	1976	1976	F	6-8	220	August 20, 1953	Detroit Mercy
Tim Thomas	1998	2010	F	6-10	230	February 26, 1977	Villanova
Tyrus Thomas	2007	2015	F	6-9	215	August 17, 1986	LSU
Willis Thomas	1968	1968	G	6-2	185		Harbor College
Trey Thompkins	2012	2012	F	6-10	245	May 20, 1990	Georgia
Amen Thompson	2024	2024	G	6-7	209	January 30, 2003	
Ausar Thompson	2024	2024	G	6-7	215	January 30, 2003	
Bernard Thompson	1985	1989	F-G	6-6	210	August 30, 1962	Fresno State
Billy Thompson	1987	1992	F	6-7	195	December 1, 1963	Louisville
Brooks Thompson	1995	1998	G	6-4	193	July 19, 1970	Texas A&M, Oklahoma State
Corny Thompson	1983	1983	F	6-8	225	February 5, 1960	UConn
David Thompson*	1976	1984	G-F	6-4	195	July 13, 1954	NC State
Dijon Thompson	2006	2007	G-F	6-7	195	February 23, 1983	UCLA
George Thompson	1970	1975	G	6-2	200	November 29, 1947	Marquette
Hollis Thompson	2014	2017	G-F	6-8	206	April 3, 1991	Georgetown
Jack Thompson	1969	1969	G	6-1	185	March 26, 1946	South Carolina
Jason Thompson	2009	2016	F-C	6-11	250	July 21, 1986	Rider University
John Thompson*	1965	1966	F	6-10	225	September 2, 1941	Providence
Kevin Thompson	1994	1994	C-F	6-11	260	February 7, 1971	NC State
Klay Thompson	2012	2024	G-F	6-6	215	February 8, 1990	Washington State
LaSalle Thompson	1983	1997	C-F	6-10	245	June 23, 1961	Texas
Mychal Thompson	1979	1991	C-F	6-10	226	January 30, 1955	Minnesota
Mychel Thompson	2012	2012	G	6-6	211	June 1, 1988	Pepperdine
Paul Thompson	1984	1986	G-F	6-6	210	May 25, 1961	Tulane
Stephen Thompson	1992	1992	G	6-4	185	December 2, 1968	Syracuse
Tristan Thompson	2012	2024	F-C	6-9	254	March 13, 1991	Texas
JT Thor	2022	2024	F	6-10	205	August 26, 2002	Auburn
Skip Thoren	1968	1970	C	6-10	230	April 5, 1943	Illinois
Rod Thorn*	1964	1971	G	6-4	195	May 23, 1941	West Virginia
Al Thornton	2008	2011	F	6-8	220	December 7, 1983	Florida State
Bob Thornton	1986	1996	F-C	6-10	225	July 10, 1962	University of California, Irvine
Dallas Thornton	1969	1970	G	6-4	190	September 1, 1946	Kentucky Wesleyan College
Marcus Thornton	2010	2017	G	6-4	205	June 5, 1987	LSU
Sindarius Thornwell	2018	2021	G	6-4	215	November 15, 1994	South Carolina
Otis Thorpe	1985	2001	F-C	6-10	248	August 5, 1962	Providence
Sedale Threatt	1984	1997	G	6-2	175	September 10, 1961	West Virginia Tech
Nate Thurmond*	1964	1977	C-F	6-11	225	July 25, 1941	Bowling Green
Mel Thurston	1948	1948	G	6-0	175	January 16, 1919	Canisius
Matisse Thybulle	2020	2024	G	6-5	201	March 4, 1997	Washington
Hal Tidrick	1949	1949	F-G	6-1	190	April 4, 1915	Washington & Jefferson College
Dan Tieman	1963	1963	G	6-0	185	November 30, 1940	Thomas More College
Killian Tillie	2021	2022	F	6-9	220	March 5, 1998	Gonzaga
Darren Tillis	1983	1984	C-F	6-11	215	February 23, 1960	Cleveland State University
Xavier Tillman Sr.	2021	2024	F	6-8	245	January 12, 1999	Michigan State
Jack Tingle	1948	1949	F	6-4	205	December 30, 1924	Kentucky
George Tinsley	1970	1972	F	6-5	205	September 19, 1946	Kentucky Wesleyan College
Jamaal Tinsley	2002	2014	G	6-3	195	February 28, 1978	Iowa State
Wayman Tisdale	1986	1997	F-C	6-9	240	June 9, 1964	Oklahoma
Mike Tobey	2017	2017	C	7-0	260	October 10, 1994	Virginia
Isaiah Todd	2022	2023	F	6-10	220	October 17, 2001	
Mike Todorovich	1950	1951	F-C	6-5	220	June 11, 1923	Washington University in Saint Louis, Notre Dame, Wyoming
Ray Tolbert	1982	1989	F	6-9	225	September 10, 1958	Indiana
Tom Tolbert	1989	1995	F-C	6-7	235	October 16, 1965	University of California, Irvine, Arizona
Anthony Tolliver	2009	2021	F-C	6-8	240	June 1, 1985	Creighton
Dean Tolson	1975	1978	F	6-8	190	November 25, 1951	Arkansas
Rudy Tomjanovich*	1971	1981	F	6-8	218	November 24, 1948	Michigan
Andrew Toney	1981	1988	G	6-3	178	November 23, 1957	Louisiana
Sedric Toney	1986	1994	G	6-2	178	April 13, 1962	Dayton
Andy Tonkovich	1949	1949	G	6-1	185	November 1, 1922	Marshall
Andy Toolson	1991	1996	G-F	6-6	210	January 19, 1966	BYU
Jack Toomay	1948	1950	C-F	6-6	215	August 9, 1922	University of the Pacific
Bernard Toone	1980	1980	F	6-9	210	July 14, 1956	Marquette
Jacob Toppin	2024	2024	F	6-9	205	May 8, 2000	Rhode Island, Kentucky
Obi Toppin	2021	2024	F	6-9	220	March 4, 1998	Dayton
Irv Torgoff	1947	1949	F	6-2	192	March 6, 1917	Long Island University
Gene Tormohlen	1963	1970	C-F	6-8	230	May 12, 1937	Tennessee
Óscar Torres	2002	2003	F	6-6	210	December 18, 1976	
Juan Toscano-Anderson	2020	2024	F	6-6	209	April 10, 1993	Marquette
Bill Tosheff	1952	1954	G	6-1	175	June 2, 1926	Indiana
Bob Tough	1949	1950	G-F	6-0	185	August 28, 1920	St. John's
Axel Toupane	2016	2021	G-F	6-7	197	July 23, 1992	
Monte Towe	1976	1977	G	5-7	150	September 27, 1953	NC State
Keith Tower	1994	1997	C-F	6-11	250	May 15, 1970	Notre Dame
Blackie Towery	1949	1950	F-C	6-4	210	June 20, 1920	Western Kentucky
Linton Townes	1983	1985	F-G	6-7	190	November 30, 1959	James Madison University
Karl-Anthony Towns	2016	2024	C-F	7-0	248	November 15, 1995	Kentucky
Raymond Townsend	1979	1982	G	6-3	175	December 20, 1955	UCLA
George Trapp	1972	1977	F-C	6-8	205	July 11, 1948	Cal State Long Beach
John Trapp	1969	1973	F	6-7	210	October 2, 1945	Voorhees College, Pasadena City College, UNLV
Robert Traylor	1999	2005	F	6-8	284	February 1, 1977	Michigan
Gary Trent	1996	2004	F	6-8	250	September 22, 1974	Ohio University
Gary Trent Jr.	2019	2024	G	6-5	209	January 18, 1999	Duke
Jeff Trepagnier	2002	2004	G	6-4	200	July 11, 1979	USC
John Tresvant	1965	1973	F-C	6-7	215	November 6, 1939	Seattle University
Allonzo Trier	2019	2020	G	6-4	200	January 17, 1996	Arizona
Dick Triptow	1949	1950	G-F	6-0	170	November 3, 1922	DePaul
Kelly Tripucka	1982	1991	F-G	6-6	220	February 16, 1959	Notre Dame
Ansley Truitt	1973	1973	C	6-9	215	August 24, 1950	California
Cezary Trybański	2003	2004	C	7-2	240	September 22, 1979	
Jake Tsakalidis	2001	2007	C	7-2	285	June 10, 1979	
John Tschogl	1973	1975	F	6-6	206	April 25, 1950	UC Santa Barbara
Oscar Tshiebwe	2024	2024	F	6-9	260	November 27, 1999	West Virginia, Kentucky
Lou Tsioropoulos	1957	1959	F	6-5	190	August 31, 1930	Kentucky
Nikoloz Tskitishvili	2003	2006	F	7-0	225	April 14, 1983	
Al Tucker	1968	1972	F	6-8	190	February 24, 1943	Oklahoma Baptist University
Alando Tucker	2008	2010	F	6-6	205	February 11, 1984	Wisconsin
Anthony Tucker	1995	1995	F	6-8	220	April 4, 1969	Georgetown, Wake Forest
Jim Tucker	1955	1957	F	6-7	185	December 11, 1932	Duquesne
P.J. Tucker	2007	2024	F	6-5	245	May 5, 1985	Texas
Rayjon Tucker	2020	2022	F	6-3	209	September 24, 1997	Florida Gulf Coast, Little Rock
Trent Tucker	1983	1993	G	6-5	193	December 20, 1959	Minnesota
Ronny Turiaf	2006	2015	F	6-10	249	January 13, 1983	Gonzaga
Mirsad Türkcan	2000	2000	F	6-9	236	June 7, 1976	
Hedo Türkoğlu	2001	2015	F	6-10	220	March 19, 1979	
Andre Turner	1987	1992	G	5-11	160	December 13, 1964	Memphis
Bill Turner	1968	1973	F	6-7	220	February 18, 1944	University of Akron
Elston Turner	1982	1989	G-F	6-5	190	June 10, 1959	Ole Miss
Evan Turner	2011	2020	G	6-6	220	October 27, 1988	Ohio State
Gary Turner	1968	1968	F	6-7	200	November 23, 1942	Paris Junior College, TCU
Henry Turner	1990	1995	G-F	6-7	200	August 18, 1966	Cal State Fullerton
Herschell Turner	1968	1968	G	6-2	195	March 29, 1938	Nebraska
Jack Turner	1955	1955	F-G	6-4	170	June 29, 1930	Western Kentucky
Jack Turner	1962	1962	G-F	6-5	200	June 5, 1939	Louisville
Jeff Turner	1985	1996	F-C	6-9	230	April 9, 1962	Vanderbilt
John Turner	1992	1992	F	6-8	245	November 30, 1967	Georgetown, Phillips University
Myles Turner	2016	2024	C-F	6-11	250	March 24, 1996	Texas
Wayne Turner	2000	2000	G	6-2	190	March 22, 1976	Kentucky
Melvin Turpin	1985	1990	C	6-11	240	December 28, 1960	Kentucky
Dave Twardzik	1973	1980	G	6-1	175	September 20, 1950	Old Dominion
Jack Twyman*	1956	1966	F-G	6-6	210	May 11, 1934	Cincinnati
B.J. Tyler	1995	1995	G	6-1	185	April 30, 1971	DePaul, Texas
Jeremy Tyler	2012	2014	C	6-10	260	June 21, 1991	
Terry Tyler	1979	1989	F-G	6-7	215	October 30, 1956	Detroit Mercy
Charlie Tyra	1958	1962	C-F	6-8	230	August 16, 1935	Louisville
Hunter Tyson	2024	2024	F	6-8	215	June 13, 2000	Clemson
