Player	From	To	Pos	Ht	Wt	Birth Date	Colleges
Josh Giddey	2022	2025	G	6-8	210	October 10, 2002	
Trey Gilder	2010	2010	F	6-9	185	January 24, 1985	McNeese State University, Northwestern State University
Harry Giles	2019	2024	F-C	6-11	240	April 22, 1998	Duke
Shai Gilgeous-Alexander	2019	2025	G	6-6	200	July 12, 1998	Kentucky
Anthony Gill	2021	2025	F	6-7	230	October 17, 1992	South Carolina, Virginia
Eddie Gill	2001	2009	G	6-0	190	August 16, 1978	Weber State
Kendall Gill	1991	2005	G	6-5	195	May 25, 1968	Illinois
Ben Gillery	1989	1989	C	7-0	235	September 19, 1965	Georgetown
Collin Gillespie	2024	2025	G	6-1	195	June 25, 1999	Villanova
Freddie Gillespie	2021	2022	F	6-9	245	June 14, 1997	Carleton College, Baylor
Jack Gillespie	1970	1970	F	6-6	215	October 1, 1947	Montana State
Armen Gilliam	1988	2000	F-C	6-9	230	May 28, 1964	UNLV
Herm Gilliam	1970	1977	G-F	6-3	190	May 5, 1946	Purdue
Artis Gilmore*	1972	1988	C	7-2	240	September 21, 1949	Gardner-Webb University, Jacksonville University
Walt Gilmore	1971	1971	F	6-6	225	February 27, 1947	Fort Valley State University
Chuck Gilmur	1947	1951	F-C	6-4	225	August 13, 1922	Washington
Jacob Gilyard	2023	2024	G	5-9	160	July 14, 1998	Richmond
Manu Ginóbili*	2003	2018	G	6-6	205	July 28, 1977	
Gordan Giriček	2003	2008	G-F	6-6	210	June 20, 1977	
Jack Givens	1979	1980	F-G	6-5	205	September 21, 1956	Kentucky
Mickell Gladness	2012	2012	C	6-11	220	July 26, 1986	Alabama A&M University
George Glamack	1949	1949	C-F	6-6	225	June 7, 1918	UNC
Gerald Glass	1991	1996	G-F	6-5	221	November 12, 1967	Delta State University, Ole Miss
Mike Glenn	1978	1987	G	6-2	175	September 10, 1955	Southern Illinois
Normie Glick	1950	1950	F	6-7	190	November 10, 1927	Loyola Marymount
Georgi Glouchkov	1986	1986	F	6-8	235	January 10, 1960	
Clarence Glover	1972	1972	F	6-8	210	November 1, 1947	Western Kentucky
Dion Glover	2000	2005	G	6-5	228	October 22, 1978	Georgia Tech
Andreas Glyniadakis	2007	2007	C	7-1	280	August 21, 1981	
Mike Gminski	1981	1994	C	6-11	250	August 3, 1959	Duke
Rudy Gobert	2014	2025	C	7-1	258	June 26, 1992	
Dan Godfread	1991	1992	C	6-10	250	June 14, 1967	University of Evansville
Tom Gola*	1956	1966	G-F	6-6	205	January 13, 1933	La Salle
Ben Goldfaden	1947	1947	F	6-1	185	September 6, 1913	George Washington
Anthony Goldwire	1996	2006	G	6-1	182	September 6, 1971	Houston
Ryan Gomes	2006	2014	F	6-7	250	September 1, 1982	Providence
Glen Gondrezick	1978	1983	F-G	6-6	218	August 30, 1955	UNLV
Grant Gondrezick	1987	1989	G	6-5	205	January 19, 1963	Pepperdine
Drew Gooden	2003	2016	F	6-10	250	September 24, 1981	Kansas
Gail Goodrich*	1966	1979	G	6-1	170	April 23, 1943	UCLA
Steve Goodrich	2001	2002	F	6-10	220	March 18, 1976	Princeton
Archie Goodwin	2014	2017	G	6-5	200	August 17, 1994	Kentucky
Brandon Goodwin	2019	2022	G	6-0	180	October 2, 1995	Central Florida, Florida Gulf Coast
Jordan Goodwin	2022	2024	G	6-3	200	October 23, 1998	Saint Louis
Pop Goodwin	1947	1948	F-C	6-2	203	December 22, 1920	
Aaron Gordon	2015	2025	F	6-8	235	September 16, 1995	Arizona
Ben Gordon	2005	2015	G	6-3	200	April 4, 1983	UConn
Drew Gordon	2015	2015	F	6-9	245	July 12, 1990	UCLA, New Mexico
Eric Gordon	2009	2025	G-F	6-3	215	December 25, 1988	Indiana
Lancaster Gordon	1985	1988	G	6-3	185	June 24, 1962	Louisville
Paul Gordon	1950	1950	F	6-3	185	April 8, 1927	Notre Dame
Marcin Gortat	2008	2019	C-F	6-11	240	February 17, 1984	
Jazian Gortman	2025	2025	G	6-2	184	April 14, 2003	
Leo Gottlieb	1947	1948	G	5-11	180	November 28, 1920	
Andrew Goudelock	2012	2016	G	6-3	200	December 7, 1988	College of Charleston
Gerald Govan	1968	1976	F-C	6-10	220	January 2, 1942	Saint Mary of the Plains College
Bato Govedarica	1954	1954	G	5-11	185	April 17, 1928	DePaul
Joe Graboski	1949	1962	F-C	6-7	195	January 15, 1930	
Ricky Grace	1994	1994	G	6-1	180	August 20, 1967	Midland College, Oklahoma
Calvin Graham	1968	1968	G	6-2	195	June 7, 1944	Gannon University
Devonte' Graham	2019	2024	G	6-1	195	February 22, 1995	Kansas
Greg Graham	1994	1998	G	6-4	174	November 26, 1970	Indiana
Joey Graham	2006	2011	F	6-7	225	June 11, 1982	Central Florida, Oklahoma State
Mal Graham	1968	1969	G	6-1	185	February 23, 1945	NYU
Orlando Graham	1989	1989	F	6-8	220	May 5, 1965	West Texas A&M University, Auburn University at Montgomery
Paul Graham	1992	1994	F-G	6-6	200	November 28, 1967	Ohio University
Stephen Graham	2006	2011	G	6-6	215	June 11, 1982	Central Florida, Oklahoma State
Treveon Graham	2017	2020	G	6-5	219	October 28, 1993	VCU
Jim Grandholm	1991	1991	F-C	7-0	235	October 4, 1960	Florida, South Florida
Ron Grandison	1989	1996	F	6-6	215	July 9, 1964	University of California, Irvine, New Orleans
Danny Granger	2006	2015	F	6-9	222	April 20, 1983	Bradley, New Mexico
Stewart Granger	1984	1987	G	6-3	190	October 27, 1961	Villanova
Brian Grant	1995	2006	F	6-9	254	March 5, 1972	Xavier
Bud Grant	1950	1951	F	6-3	195	May 20, 1927	Minnesota
Gary Grant	1989	2001	G	6-3	185	April 21, 1965	Michigan
Greg Grant	1990	1996	G	5-7	140	August 29, 1966	Trenton State University
Harvey Grant	1989	1999	F	6-8	195	July 4, 1965	Clemson, Oklahoma
Horace Grant	1988	2004	F-C	6-10	215	July 4, 1965	Clemson
Jerami Grant	2015	2025	F	6-7	210	March 12, 1994	Syracuse
Jerian Grant	2016	2020	G	6-4	205	October 9, 1992	Notre Dame
Josh Grant	1994	1994	F	6-9	223	August 7, 1967	Utah
Paul Grant	1999	2004	C	7-0	245	January 6, 1974	Boston College, Wisconsin
Travis Grant	1973	1976	F	6-7	215	January 1, 1950	Kentucky State University
Donte Grantham	2019	2019	F	6-8	215	March 19, 1995	Clemson
Don Grate	1950	1950	F-G	6-2	185	August 27, 1923	Ohio State
Butch Graves	1985	1985	G	6-3	200	January 5, 1962	Yale
Hassani Gravett	2022	2022	G	6-2	188	July 16, 1996	Pensacola State, South Carolina
Aaron Gray	2008	2014	C	7-0	270	December 7, 1984	Pitt
Devin Gray	1997	2000	F	6-7	240	May 31, 1972	Clemson
Ed Gray	1998	1999	G	6-3	210	September 27, 1975	Tennessee, California
Evric Gray	1997	1997	F	6-7	235	December 13, 1969	UNLV
Gary Gray	1968	1968	G	6-1	185	February 23, 1945	Oklahoma City University
Josh Gray	2018	2020	G	6-0	180	September 9, 1993	LSU
Leonard Gray	1975	1977	F	6-8	240	December 19, 1951	Cal State Long Beach
RaiQuan Gray	2023	2024	F	6-8	260	July 7, 1999	Florida State
Stuart Gray	1985	1991	C-F	7-0	235	May 27, 1963	UCLA
Sylvester Gray	1989	1989	F	6-6	230	July 8, 1967	Memphis
Wyndol Gray	1947	1948	G-F	6-1	175	March 20, 1922	Harvard University
Jeff Grayer	1989	1998	F-G	6-5	200	December 17, 1965	Iowa State
Bob Greacen	1970	1972	F	6-7	206	September 15, 1947	Rutgers University
A.C. Green	1986	2001	F-C	6-9	220	October 4, 1963	Oregon State
A.J. Green	2023	2025	G	6-4	200	September 27, 1999	University of Northern Iowa
Danny Green	2010	2024	G-F	6-6	215	June 22, 1987	UNC
Devin Green	2006	2006	G	6-7	210	October 25, 1982	Hampton
Draymond Green	2013	2025	F	6-6	230	March 4, 1990	Michigan State
Erick Green	2015	2016	G	6-4	185	May 9, 1991	Virginia Tech
Gerald Green	2006	2019	G-F	6-6	205	January 26, 1986	
Jalen Green	2022	2025	G	6-4	178	February 9, 2002	
JaMychal Green	2015	2023	F	6-8	227	June 21, 1990	Alabama
Javonte Green	2020	2025	F	6-4	205	July 23, 1993	Radford
Jeff Green	2008	2025	F	6-8	235	August 28, 1986	Georgetown
Johnny Green	1960	1973	F-C	6-5	200	December 8, 1933	Michigan State
Josh Green	2021	2025	G-F	6-5	200	November 16, 2000	Arizona
Ken Green	1986	1986	F	6-8	215	September 19, 1959	University of Texas Rio Grande Valley
Kenny Green	1986	1987	F	6-6	210	October 11, 1964	Wake Forest
Lamar Green	1970	1975	F-C	6-7	210	March 22, 1947	Morehead State University
Litterial Green	1993	1999	G	6-1	185	March 7, 1970	Georgia
Luther Green	1970	1973	F	6-7	190	November 13, 1946	Long Island University
Mike Green	1974	1980	C-F	6-10	200	August 6, 1951	Louisiana Tech
Rickey Green	1978	1992	G	6-0	170	August 18, 1954	Vincennes University, Michigan
Sean Green	1992	1994	G-F	6-5	210	February 2, 1970	NC State, Iona College
Si Green	1957	1966	G-F	6-2	185	August 20, 1933	Duquesne
Sidney Green	1984	1993	F-C	6-9	220	January 4, 1961	UNLV
Steve Green	1976	1979	F	6-7	220	October 4, 1953	Indiana
Taurean Green	2008	2008	G	6-0	177	November 28, 1986	Florida
Tommie Green	1979	1979	G	6-2	185	April 8, 1956	Southern University and A&M College
Willie Green	2004	2015	G	6-4	200	July 28, 1981	Detroit Mercy
Donté Greene	2009	2012	F	6-11	226	February 21, 1988	Syracuse
Orien Greene	2006	2011	G	6-4	208	February 4, 1982	Florida, Louisiana
Jerry Greenspan	1964	1965	F	6-5	195	November 22, 1941	Maryland
Dave Greenwood	1980	1991	F-C	6-9	222	May 27, 1957	UCLA
Hal Greer*	1959	1973	G-F	6-2	175	June 26, 1936	Marshall
Lynn Greer	2007	2007	G	6-2	175	October 23, 1979	Temple
Gary Gregor	1969	1974	F-C	6-7	225	August 13, 1945	South Carolina
Claude Gregory	1986	1988	F	6-8	205	December 26, 1958	Wisconsin
John Greig	1983	1983	F	6-7	215	April 28, 1961	Oregon
Norm Grekin	1954	1954	F	6-5	180	June 22, 1930	La Salle
Kevin Grevey	1976	1985	G-F	6-5	210	May 12, 1953	Kentucky
Dennis Grey	1969	1970	C-F	6-8	215	August 26, 1947	California Western Uiversity
Adrian Griffin	2000	2008	G-F	6-5	217	July 4, 1974	Seton Hall
AJ Griffin	2023	2024	F	6-6	222	August 25, 2003	Duke
Blake Griffin	2011	2023	F-C	6-9	250	March 16, 1989	Oklahoma
Eddie Griffin	2002	2007	F-C	6-10	220	May 30, 1982	Seton Hall
Greg Griffin	1978	1978	F	6-7	190	September 6, 1952	Idaho State University
Paul Griffin	1977	1983	F-C	6-9	205	January 20, 1954	Western Michigan
Taylor Griffin	2010	2010	F	6-7	238	April 18, 1986	Oklahoma
Darrell Griffith	1981	1991	G	6-4	190	June 16, 1958	Louisville
Chuck Grigsby	1955	1955	G	6-5	190	August 15, 1928	Dayton
Quentin Grimes	2022	2025	G	6-5	205	May 8, 2000	Kansas, Houston
Derek Grimm	1998	1998	F	6-9	230	August 3, 1974	Missouri
Woody Grimshaw	1947	1947	G	6-1	185	September 24, 1919	Brown University
Dick Groat	1953	1953	G	5-11	180	November 4, 1930	Duke
Bob Gross	1976	1983	F-G	6-6	200	August 3, 1953	Seattle University, Cal State Long Beach
Mike Grosso	1972	1972	C	6-9	230	September 7, 1947	Louisville
Jerry Grote	1965	1965	G	6-4	215	December 28, 1940	Loyola Marymount
Alex Groza	1950	1951	C	6-7	218	October 7, 1926	Kentucky
Dick Grubar	1970	1970	G	6-4	184	July 26, 1947	UNC
Anthony Grundy	2006	2006	G	6-3	180	April 15, 1979	NC State
Ernie Grunfeld	1978	1986	G-F	6-6	210	April 24, 1955	Tennessee
Gene Guarilia	1960	1963	F	6-5	220	September 13, 1937	George Washington
Pétur Guðmundsson	1982	1989	C	7-2	260	October 30, 1958	Washington
Marko Gudurić	2020	2020	G	6-6	201	March 8, 1995	
Richie Guerin*	1957	1970	G	6-4	195	May 29, 1932	Iona College
Mouhamadou Gueye	2024	2024	F	6-9	210	July 6, 1998	Monroe Community College, Stony Brook University, Pitt
Mouhamed Gueye	2024	2025	F	6-11	210	November 9, 2002	Washington State
Tom Gugliotta	1993	2005	F	6-10	240	December 19, 1969	NC State
Andrés Guibert	1994	1995	F-C	6-10	225	October 28, 1968	
Jay Guidinger	1993	1994	C	6-10	255	August 18, 1969	University of Minnesota Duluth
Coulby Gunther	1947	1949	F	6-4	190	February 5, 1923	St. John's, Boston College
Dave Gunther	1963	1963	F	6-7	190	July 22, 1937	Iowa
Al Guokas	1950	1950	F-G	6-5	200	August 7, 1925	Saint Joseph's
Matt Guokas	1947	1947	F	6-3	195	November 11, 1915	Saint Joseph's
Matt Guokas	1967	1976	G-F	6-5	175	February 25, 1944	Saint Joseph's
Jorge Gutiérrez	2014	2016	G	6-3	191	December 27, 1988	California
Kyle Guy	2020	2022	G	6-1	167	August 11, 1997	Virginia
A.J. Guyton	2001	2003	G	6-1	180	February 12, 1978	Indiana
